NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
05286344,11,2023,900000,2,,1,3058.3333
05286344,11,2023,900000,2,,2,3058.3333
05286344,11,2023,900000,2,,3,3058.3333
05286344,11,2023,900000,2,,4,3058.3333
05286344,11,2023,900000,2,,5,3058.3333
05286344,11,2023,900090,2,,1,820
05286344,11,2023,900090,2,,2,820
05286344,11,2023,900090,2,,3,820
05286344,11,2023,900090,2,,4,820
05286344,11,2023,900090,2,,5,820
05286344,11,2023,900150,2,,1,500
05286344,11,2023,900150,2,,2,500
05286344,11,2023,900150,2,,3,500
05286344,11,2023,900150,2,,4,500
05286344,11,2023,900150,2,,5,500
05286344,11,2023,980000,2,,1,4378.3333
05286344,11,2023,980000,2,,2,4378.3333
05286344,11,2023,980000,2,,3,4378.3333
05286344,11,2023,980000,2,,4,4378.3333
05286344,11,2023,980000,2,,5,4378.3333
05286344,11,2023,980071,2,,1,5006.3333333
05286344,11,2023,980071,2,,2,5006.3333333
05286344,11,2023,980071,2,,3,5006.3333333
05286344,11,2023,980071,2,,4,5006.3333333
05286344,11,2023,980071,2,,5,5006.3333333
05286344,12,2023,800940,2,,1,234
05286344,12,2023,800940,2,,2,234
05286344,12,2023,800940,2,,3,234
05286344,12,2023,800940,2,,4,234
05286344,12,2023,800940,2,,5,234
05286344,12,2023,900000,2,,1,3058.3333
05286344,12,2023,900000,2,,2,3058.3333
05286344,12,2023,900000,2,,3,3058.3333
05286344,12,2023,900000,2,,4,3058.3333
05286344,12,2023,900000,2,,5,3058.3333
05286344,12,2023,900090,2,,1,820
05286344,12,2023,900090,2,,2,820
05286344,12,2023,900090,2,,3,820
05286344,12,2023,900090,2,,4,820
05286344,12,2023,900090,2,,5,820
05286344,12,2023,900150,2,,1,500
05286344,12,2023,900150,2,,2,500
05286344,12,2023,900150,2,,3,500
05286344,12,2023,900150,2,,4,500
05286344,12,2023,900150,2,,5,500
05286344,12,2023,980000,2,,1,4378.3333
05286344,12,2023,980000,2,,2,4378.3333
05286344,12,2023,980000,2,,3,4378.3333
