NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
05286514,11,2023,900000,2,1251.0000,
05286514,11,2023,900160,2,3253.8000,
05286514,11,2023,900210,2,358.3333,
05286514,11,2023,950004,2,-364.7500,
05286514,11,2023,950014,2,75.9167,
05286514,11,2023,980000,2,4863.1333,
05286514,11,2023,980010,2,0.4167,
05286514,11,2023,980020,2,3.4167,
05286514,11,2023,980030,2,0.1667,
05286514,11,2023,980040,2,0.0833,
05286514,11,2023,980050,2,0.2500,
05286514,11,2023,980071,2,5151.9667,
05286514,11,2023,980090,1,8.3333,
05286514,11,2023,980220,2,8.3333,
05286514,11,2023,980240,2,8.3333,
05286514,11,2023,980281,2,8.3333,
05286514,11,2023,980286,2,8.3333,
05286514,11,2023,980310,2,8.3333,
05286514,11,2023,980330,2,8.3333,
05286514,11,2023,980350,2,8.3333,
05286514,12,2023,800932,2,583.3333,
05286514,12,2023,800940,2,1527.9386,T
05286514,12,2023,900000,2,1251.0000,
05286514,12,2023,900160,2,3253.8000,
05286514,12,2023,900210,2,358.3333,
05286514,12,2023,950004,2,-364.7500,
05286514,12,2023,950014,2,75.9167,
05286514,12,2023,980000,2,4863.1333,
05286514,12,2023,980010,2,0.4167,
05286514,12,2023,980020,2,3.4167,
05286514,12,2023,980030,2,0.1667,
05286514,12,2023,980040,2,0.0833,
05286514,12,2023,980050,2,0.2500,
